genotype,genotype_code,location,depth,cohort,origin,date_cloned,date_planted,date_planted_sp,weight,width,nodes,initial_frame,position,site_frame,co2,comp,salinity,flood_level,notes
cm9,128,corn,0,corn_modern,nd,5/27/19,6/12/19,6/12/19,1.027,4.26,1,6,5,gcrew_7,ambient,1,salt,3,
ca7,C4BH-7,corn,20.75,corn_ancestral,utk,5/27/19,6/12/19,NA,1,1.97,1,6,6,gcrew_7,ambient,0,salt,3,
ka2,146,kirkpatrick,14,kirk_ancestral,nd,6/9/19,6/12/19,NA,1.162,1.49,1,6,7,gcrew_7,ambient,0,salt,3,ND
ca4,C4BH-11,corn,20.75,corn_ancestral,utk,5/27/19,6/12/19,6/12/19,0.556,0.92,1,6,8,gcrew_7,ambient,1,salt,3,
ca6,C4BH-3,corn,20.75,corn_ancestral,utk,5/27/19,6/12/19,NA,1.677,1.55,1,6,1,gcrew_7,ambient,0,salt,4,
ca4,C4BH-11,corn,20.75,corn_ancestral,utk,6/19/19,6/26/19,6/12/19,1.477,1.5,1,6,2,gcrew_7,ambient,1,salt,4,
cm5,C4AS-2,corn,0,corn_modern,utk,5/27/19,6/12/19,NA,0.654,1.14,1,6,3,gcrew_7,ambient,0,salt,4,
cm6,C4AS-5,corn,0,corn_modern,utk,5/27/19,6/12/19,6/12/19,0.423,1.26,1,6,4,gcrew_7,ambient,1,salt,4,
ca8,130,corn,15,corn_ancestral,nd,6/9/19,6/12/19,6/12/19,1.593,2.91,2,6,5,gcrew_7,ambient,1,salt,4,
km3,KM1B1Q-1,kirkpatrick,0,kirk_modern,utk,5/27/19,6/12/19,NA,2.314,2.83,1,6,6,gcrew_7,ambient,0,salt,4,
cm9,128,corn,0,corn_modern,nd,5/27/19,6/12/19,NA,0.772,2.91,1,6,7,gcrew_7,ambient,0,salt,4,
ka4,153,kirkpatrick,20,kirk_ancestral,nd,5/27/19,6/12/19,NA,0.3,1.48,1,6,8,gcrew_7,ambient,0,salt,4,
ca10,138,corn,16.75,corn_ancestral,nd,6/19/19,6/26/19,NA,0.746,3.27,1,6,1,gcrew_7,ambient,0,salt,5,
ka6,Flat 3 B5 MD2 16-18,kirkpatrick,16,kirk_ancestral,utk,6/9/19,6/17/19,NA,2.44,1.76,2,6,2,gcrew_7,ambient,0,salt,5,
cm2,C4AS-4,corn,0,corn_modern,utk,5/27/19,6/17/19,6/17/19,0.76,1.61,2,6,3,gcrew_7,ambient,1,salt,5,
b2,191,blackwater,10,blackwater,nd,5/27/19,6/17/19,NA,1.054,4.17,1,6,4,gcrew_7,ambient,0,salt,5,
cm10,139,corn,0,corn_modern,nd,5/27/19,6/17/19,NA,1.296,1.44,1,6,5,gcrew_7,ambient,0,salt,5,
cm4,C2AT-9,corn,0,corn_modern,utk,6/9/19,6/17/19,6/17/19,1.691,1.5,1,6,6,gcrew_7,ambient,1,salt,5,
ca6,C4BH-3,corn,20.75,corn_ancestral,utk,5/27/19,6/17/19,6/17/19,1.401,2.25,1,6,7,gcrew_7,ambient,1,salt,5,
ca4,C4BH-11,corn,20.75,corn_ancestral,utk,5/27/19,6/17/19,NA,0.936,1.78,1,6,8,gcrew_7,ambient,0,salt,5,
cm8,127,corn,0,corn_modern,nd,5/27/19,6/17/19,6/17/19,1.281,3.6,1,6,1,gcrew_7,ambient,1,salt,6,
cm10,139,corn,0,corn_modern,nd,5/27/19,6/17/19,NA,0.569,1.08,2,6,2,gcrew_7,ambient,0,salt,6,
cm1,C4AS-8,corn,0,corn_modern,utk,5/27/19,6/17/19,NA,0.525,1.19,1,6,3,gcrew_7,ambient,0,salt,6,
ca7,C4BH-7,corn,20.75,corn_ancestral,utk,5/27/19,6/17/19,NA,0.91,1.68,1,6,4,gcrew_7,ambient,0,salt,6,
ca10,138,corn,16.75,corn_ancestral,nd,6/19/19,6/26/19,6/26/19,0.881,2.35,1,6,5,gcrew_7,ambient,1,salt,6,
ca2,C4BI-7,corn,18.75,corn_ancestral,utk,5/27/19,6/17/19,6/17/19,1.744,1.23,1,6,6,gcrew_7,ambient,1,salt,6,
ka3,14-16D,kirkpatrick,14,kirk_ancestral,utk,5/27/19,6/17/19,NA,2.169,1.95,1,6,7,gcrew_7,ambient,0,salt,6,UTK
km5,159,kirkpatrick,extant,kirk_modern,nd,6/19/19,6/26/19,NA,0.751,2.05,2,6,8,gcrew_7,ambient,0,salt,6,
