date,pot_no,segment_top,segment_bottom,weight,species,notes
12/19/19,306,20,67,0.852,,
12/23/19,19,20,65.5,0.769,,
12/19/19,306,10,20,2.269,,
12/19/19,174,20,66.5,0.915,,
12/20/19,75,20,66,0.449,,
12/19/19,320,20,68,0.149,,
12/19/19,320,0,10,0.828,,
12/20/19,80,10,20,1.359,,
12/20/19,75,0,10,4.139,,
12/19/19,174,0,10,9.529,,
12/20/19,75,10,20,0.339,,
12/20/19,80,0,10,6.167,,
12/19/19,306,0,10,11.601,,
12/19,1967,0,10,1.570,SPPA,
12/23/19,19,0,10,5.046,,
12/26/19,170,0,10,3.722,,
12/19/19,174,10,20,1.511,,
12/23/19,1963,10,20,2.434,,
12/20/19,26,10,20,0.863,,
12/23/19,1963,20,65,2.167,,
12/20/19,26,0,10,5.670,,
12/31/19,343,20,64,0.346,scam,
12/31/19,343,20,64,0.182,,mixed fine roots
12/04/19,121,0,10,0.193,,fine roots
12/04/19,121,20,65,0.450,,fine roots
12/04/19,121,10,20,0.106,,fine roots
12/31/19,343,10,20,0.053,,mixed fine roots
12/31/19,67,20,61,0.594,,fine roots
12/31/19,343,10,20,0.226,scam,
12/31/19,343,0,10,4.660,SPPA,
12/31/19,67,0,10,6.198,,
12/31/19,343,0,10,0.926,scam,
12/31/19,343,20,64,1.447,SPPA,
12/04/19,73,10,20,1.514,,
12/31/19,343,10,20,1.002,SPPA,
12/04/19,73,20,68,0.657,,
12/03/19,385,20,66.5,0.483,,
12/03/19,385,10,20,0.385,,
12/03/19,1659,10,20,0.163,scam,fine roots
12/03/19,1621,5,                   end,0.284,,
12/03/19,1659,10,20,0.211,,rhizome
12/03/19,1659,20,                    end,0.068,,fine roots
12/03/19,401,20,66,0.245,,rhizomes
12/04/19,407,10,20,1.229,,
12/04/19,1679,0,10,5.804,,
12/03/19,150,0,10,3.583,,
12/03/19,355,10,20,0.488,,fine roots
12/04/19,216,10,20,2.534,,
12/31/19,67,10,20,1.22,,
12/04/19,1679,10,20,0.853,,
12/04/19,407,20,66.5,1.135,,
12/04/19,1979,20,64.5,0.346,,
12/02/19,344,20,64.5,0.666,SPPA,2/2 roots
12/03/19,386,20,                   end,0.192,,
12/03/19,386,10,20,0.267,,
12/04/19,216,0,10,9.194,,
12/04/19,216,20,66,1.029,,
12/04/19,73,0,10,8.721,,
12/04/19,121,0,10,0.653,,rhizome & stems
12/03/19,355,0,10,7.563,,
12/03/19,401,0,10,8.084,,
12/04/19,340,0,10,2.162,,
12/03/19,1659,0,10,3.199,,
12/04/19,340,10,20,1.875,,
12/03/19,150,10,20,1.431,,
12/02/19,412,10,20,0.157,,fine roots
12/02/19,344,20,64.5,0.578,SPPA,1/2 (stems)
11/29/19,375,20,65.5,0.189,,
12/02/19,412,20,62.5,0.251,,fine roots
12/02/19,408,0,10,7.051,,
12/03/19,401,20,66,1.212,,fine roots
12/04/19,407,0,10,8.593,,
12/03/19,355,20,67,0.619,,fine roots
12/03/19,386,0,10,1.173,,
12/03/19,401,10,20,1.756,,
12/02/19,1939,10,20,0.006,,
12/02/19,1938,20,65,0.307,,
12/02/19,362,0,10,0.157,SPPA,
12/02/19,362,0,10,0.057,,mixed roots
12/02/19,1939,0,10,0.096,,
12/02/19,1939,20,                    end,0.053,,
12/02/19,362,10,                    end,0.077,,
12/02/19,1938,0,10,3.779,,
12/03/19,1621,0,5,2.227,,
11/29/19,357,0,10,7.612,,
11/29/19,357,10,20,1.958,,
12/03/19,408,20,65,0.623,,
12/02/19,344,10,20,0.969,SPPA,
12/03/19,355,10,20,1.191,,rhizome
12/02/19,1664,0,10,0.033,SPPA,
11/29/19,414,0,10,11.064,,
12/04/19,340,20,64,1.33,,
12/02/19,344,0,10,4.523,SPPA,
12/02/19,362,0,10,1.619,scam,
12/03/19,408,10,20,2.379,,
12/02/19,1664,0,10,6.81,scam,
12/02/19,1664,10,20,0.566,,
11/29/19,368,0,10,4.27,,
12/03/19,150,20,65.5,1.634,,
11/29/19,414,10,20,0.797,,
11/29/19,357,20,62.5,0.631,,
12/02/19,1654,10,20,4.307,,
11/29/19,368,10,20,1.535,,
12/02/19,1664,20,60.5,0.359,,
12/02/19,1938,10,20,0.853,,
12/03/19,385,0,10,1.212,,
12/02/19,1654,20,                    end,1.121,,
11/29/19,375,0,10,2.591,,
11/29/19,368,20,66,0.603,,
12/02/19,412,0,10,2.52,,
11/29/19,414,20,63.5,0.91,,
12/02/19,1654,0,10,3.929,,
12/29/19,375,10,20,0.532,,
12/18/19,116,20,62,0.7,,
12/18/19,116,10,20,1.955,,
12/18/19,1955,10,20,0.623,,
12/17/19,70,20,67,0.349,,
12/18/19,1955,0,10,0.419,,
12/18/19,1955,20,                    end,0.212,,
12/18/19,116,0,10,12.338,,
12/18/19,126,0,10,7.996,,
12/18/19,126,10,20,0.41,,
12/18/19,126,20,63.5,0.148,,
12/17/19,120,20,66,1.261,,
12/18/19,1960,20,65,1.359,,
12/18/19,1960,10,20,2.094,,
12/18/19,1960,0,10,6.433,,
12/17/19,120,0,10,8.342,,
12/17/19,120,10,20,2.221,,
12/17/19,17,20,65,0.265,,
12/17/19,17,10,20,1.375,,
12/17/19,70,0,10,6.653,,
12/17/19,70,10,20,2.144,,
12/17/19,17,0,10,4.543,,
12/17/19,358,20,                     end,0.453,,
12/17/19,348,10,20,1.916,,
12/16/19,348,0,10,0.114,,mixed roots
12/16/19,348,20,67.5,1.682,,
12/17/19,358,0,10,8.232,,
12/17/19,1974,20,67,1.214,,
12/16/19,354,0,10,5.332,,
12/17/19,1974,10,20,5.008,,
12/16/19,348,10,20,2.008,,
12/16/19,354,10,20,1.152,,
12/17/19,1974,0,10,14.184,,
12/16/19,1661,10,20,0.791,,
12/16/19,1661,20,65.5,0.176,,
12/16/19,348,0,10,0.523,SPPA,
12/16/19,348,0,10,5.292,scam,
12/12/19,349,20,65.5,0.64,,
12/12/19,349,10,20,1.489,,
12/16/19,354,          *,             *,0.37,,*no segment noted on bag
12/13/19,1658,0,10,0.55,scam,
12/16/19,1661,0,10,5.8,,
12/13/19,1658,0,10,0.172,SPPA,
12/13/19,1658,0,10,0.05,,mixed fine roots
12/12/19,1646,20,64,0.444,,
12/11/19,20,20,63.5,0.464,,
12/11/19,1968,0,10,0.179,,mixed roots
12/13/19,1658,20,                    end,0.163,,
12/12/19,1646,0,10,3.177,,
12/13/19,1658,10,20,0.052,,
12/11/19,20,0,10,3.83,,
12/11/19,20,10,20,1.808,,
12/13/19,1983,20,64,0.561,,
12/13/19,1983,0,10,13.055,,
12/12/19,349,0,10,11.21,,
12/13/19,1983,10,20,0.794,,
12/11/19,1968,20,65,0.543,,
12/13/19,1971,10,20,2.856,,
12/11/19,1968,0,10,1.768,SPPA,
12/13/19,1971,20,66,0.968,,
12/11/19,1968,10,20,0.76,,
12/13/19,1971,0,10,10.513,,
12/12/19,1646,10,20,0.907,,
12/11/19,1968,0,10,1.573,scam,
12/06/19,360,0,10,0.147,SPPA,
12/05/19,410,10,20,0.55,,
12/09/19,307,10,20,0.179,,
12/05/19,415,20,67.5,0.568,,
12/05/19,81,20,70,0.224,,
12/09/19,178,0,10,0.205,SPPA,
12/06/19,30,20,65.5,0.264,,
12/09/19,178,0,10,0,scam,empty
12/05/19,81,10,20,0.027,,
12/05/19,410,20,65,0.558,,fine roots
12/11/19,317,20,61.5,0.138,,
