unixtime, timestamp, slave_ID, co2, duty1, co2ave1, co2ave5, dutyave5, co2sd5, temp, pressure, humidity, gas, approx_altitude
1565616256.00,2019/8/12 13:25:8,255,623.00,477.23,652.75,692.35,460.22,NA,39.65,1015.20,37.89,391.37,-16.39
1565616640.00,2019/8/12 13:30:9,255,653.00,500.00,665.67,650.18,495.15,NA,40.44,1015.12,36.97,444.22,-15.39
1565616896.00,2019/8/12 13:35:9,255,632.00,500.00,642.83,634.12,500.00,NA,40.67,1015.06,37.45,414.97,-15.22
1565617152.00,2019/8/12 13:40:9,255,657.00,500.00,661.08,640.13,500.00,NA,40.70,1015.06,37.77,402.34,-15.22
1565617536.00,2019/8/12 13:45:9,255,647.00,500.00,634.42,624.85,500.00,NA,40.56,1015.10,37.11,429.51,-15.22
1565617792.00,2019/8/12 13:50:9,255,662.00,498.95,675.75,643.15,499.81,NA,40.84,1015.14,37.65,414.97,-15.56
1565618048.00,2019/8/12 13:55:9,255,659.00,500.00,662.17,656.53,499.98,NA,39.84,1015.16,38.08,507.39,-15.73
1565618432.00,2019/8/12 14:0:10,255,660.00,500.00,659.42,653.50,500.00,NA,39.76,1015.04,38.86,480.63,-14.89
1565618688.00,2019/8/12 14:5:10,255,657.00,500.00,642.42,640.67,500.00,NA,38.54,1015.04,39.39,557.76,-14.89
1565619072.00,2019/8/12 14:10:10,255,724.00,500.00,709.83,679.40,500.00,NA,37.76,1014.96,41.52,473.21,-14.56
1565619328.00,2019/8/12 14:15:10,255,698.00,500.00,698.67,687.00,500.00,NA,38.39,1014.94,42.50,404.76,-14.23
1565619584.00,2019/8/12 14:20:10,255,661.00,500.00,663.25,668.93,500.00,NA,38.40,1014.86,39.61,528.47,-13.40
1565619968.00,2019/8/12 14:25:10,255,665.00,500.00,657.17,662.50,500.00,NA,39.53,1014.81,38.50,517.52,-12.98
1565620224.00,2019/8/12 14:30:11,255,631.00,500.00,635.08,651.95,500.00,NA,39.75,1014.61,39.27,530.55,-11.48
1565620480.00,2019/8/12 14:35:11,255,633.00,500.00,635.50,649.72,500.00,NA,40.66,1014.55,38.35,427.87,-10.99
1565620864.00,2019/8/12 14:40:11,255,678.00,500.00,677.75,677.45,499.96,NA,40.78,1014.43,37.69,476.22,-9.49
